NFT_ID,X_POSITION,Y_POSITION,DISTANCE_TO_EDGE
1,1,1,0
2,2,1,0
3,3,1,0
4,4,1,0
5,5,1,0
6,6,1,0
7,7,1,0
8,8,1,0
9,9,1,0
10,10,1,0
11,11,1,0
12,12,1,0
13,13,1,0
14,14,1,0
15,15,1,0
16,16,1,0
17,17,1,0
18,18,1,0
19,19,1,0
20,20,1,0
21,21,1,0
22,22,1,0
23,23,1,0
24,24,1,0
25,25,1,0
26,26,1,0
27,27,1,0
28,28,1,0
29,29,1,0
30,30,1,0
31,31,1,0
32,32,1,0
33,33,1,0
34,34,1,0
35,35,1,0
36,36,1,0
37,37,1,0
38,38,1,0
39,39,1,0
40,40,1,0
41,41,1,0
42,42,1,0
43,43,1,0
44,44,1,0
45,45,1,0
46,46,1,0
47,47,1,0
48,48,1,0
49,49,1,0
50,50,1,0
51,51,1,0
52,52,1,0
53,53,1,0
54,54,1,0
55,55,1,0
56,56,1,0
57,57,1,0
58,58,1,0
59,59,1,0
60,60,1,0
61,61,1,0
62,62,1,0
63,63,1,0
64,64,1,0
65,65,1,0
66,66,1,0
67,67,1,0
68,68,1,0
69,69,1,0
70,70,1,0
71,71,1,0
72,72,1,0
73,73,1,0
74,74,1,0
75,75,1,0
76,76,1,0
77,77,1,0
78,78,1,0
79,79,1,0
80,80,1,0
81,81,1,0
82,82,1,0
83,83,1,0
84,84,1,0
85,85,1,0
86,86,1,0
87,87,1,0
88,88,1,0
89,89,1,0
90,90,1,0
91,91,1,0
92,92,1,0
93,93,1,0
94,94,1,0
95,95,1,0
96,96,1,0
97,97,1,0
98,98,1,0
99,99,1,0
100,100,1,0
101,1,2,0
102,2,2,1
103,3,2,1
104,4,2,1
105,5,2,1
106,6,2,1
107,7,2,1
108,8,2,1
109,9,2,1
110,10,2,1
111,11,2,1
112,12,2,1
113,13,2,1
114,14,2,1
115,15,2,1
116,16,2,1
117,17,2,1
118,18,2,1
119,19,2,1
120,20,2,1
121,21,2,1
122,22,2,1
123,23,2,1
124,24,2,1
125,25,2,1
126,26,2,1
127,27,2,1
128,28,2,1
129,29,2,1
130,30,2,1
131,31,2,1
132,32,2,1
133,33,2,1
134,34,2,1
135,35,2,1
136,36,2,1
137,37,2,1
138,38,2,1
139,39,2,1
140,40,2,1
141,41,2,1
142,42,2,1
143,43,2,1
144,44,2,1
145,45,2,1
146,46,2,1
147,47,2,1
148,48,2,1
149,49,2,1
150,50,2,1
151,51,2,1
152,52,2,1
153,53,2,1
154,54,2,1
155,55,2,1
156,56,2,1
157,57,2,1
158,58,2,1
